date,market,product,total_qty,total_amount,avg_price
2024-01-06,garak,배추,321236.0,172922500,538.3
2024-01-06,garak,사과,11276.8,44623000,3957.1
2024-01-06,garak,상추,88544.0,422554600,4772.3
2024-01-06,garak,시금치,123345.7,448518200,3636.3
2024-01-06,garak,양배추,352365.0,179247050,508.7
2024-01-06,garak,양파,728027.0,790154400,1085.3
2024-01-06,garak,오이,126914.0,488235000,3847.0
2024-01-06,garak,토마토,74607.9,262277200,3515.4
2024-01-06,garak,파프리카,32681.0,186694000,5712.6
2024-01-06,garak,포도,74531.6,586955180,7875.3
2024-01-06,national,감귤,1539440.1,4861822260,3158.2
2024-01-06,national,감자,477341.0,790760475,1656.6
2024-01-06,national,깻잎,69823.5,769339113,11018.3
2024-01-06,national,당근,378914.0,345022533,910.6
2024-01-06,national,대파,932034.3,2673440752,2868.4
2024-01-06,national,딸기,484656.3,6207722020,12808.5
2024-01-06,national,마늘,84512.8,398131382,4710.9
2024-01-06,national,무,1530594.8,598229124,390.8
2024-01-06,national,배추,704339.6,412670541,585.9
2024-01-06,national,사과,369456.8,1631458960,4415.8
2024-01-06,national,상추,197998.0,953664242,4816.5
2024-01-06,national,시금치,285424.4,937976068,3286.3
2024-01-06,national,양배추,771941.6,359043077,465.1
2024-01-06,national,양파,1706115.0,1848859920,1083.7
2024-01-06,national,오이,268737.5,1092537762,4065.4
2024-01-06,national,토마토,164633.9,575956560,3498.4
2024-01-06,national,파프리카,52046.7,285189180,5479.5
2024-01-06,national,포도,183388.9,1478102580,8059.9
2024-01-08,daejeon,감귤,166382.5,513207000,3084.5
2024-01-08,daejeon,감자,50500.0,96412600,1909.2
2024-01-08,daejeon,깻잎,4177.8,57668780,13803.6
2024-01-08,daejeon,당근,32610.0,28571400,876.2
2024-01-08,daejeon,대파,72440.0,222829800,3076.1
2024-01-08,daejeon,딸기,33654.5,377026300,11202.8
2024-01-08,daejeon,마늘,16874.0,69669430,4128.8
2024-01-08,daejeon,무,111800.8,45841072,410.0
2024-01-08,daejeon,배추,48851.0,35727890,731.4
2024-01-08,daejeon,사과,35882.0,207875900,5793.3
2024-01-08,daejeon,상추,15836.0,73219635,4623.6
2024-01-08,daejeon,시금치,23728.3,75683183,3189.6
2024-01-08,daejeon,양배추,91395.0,38166074,417.6
2024-01-08,daejeon,양파,120171.0,132684610,1104.1
2024-01-08,daejeon,오이,23458.0,104005300,4433.7
2024-01-08,daejeon,토마토,10517.0,35832300,3407.1
2024-01-08,daejeon,파프리카,2073.0,14844920,7161.1
2024-01-08,daejeon,포도,5372.0,40169200,7477.5
2024-01-08,garak,감귤,451974.3,1611135390,3564.7
2024-01-08,garak,감자,277120.0,457346500,1650.4
2024-01-08,garak,깻잎,41390.0,423398515,10229.5
2024-01-08,garak,당근,302530.0,246853500,816.0
2024-01-08,garak,대파,540622.0,1430082100,2645.3
2024-01-08,garak,딸기,185994.1,2179850500,11720.0
2024-01-08,garak,마늘,16009.8,58351840,3644.8
2024-01-08,garak,무,667950.0,265433600,397.4
2024-01-08,garak,배추,223599.5,141208800,631.5
2024-01-08,garak,사과,132320.8,736975000,5569.6
2024-01-08,garak,상추,89058.0,395140600,4436.9
2024-01-08,garak,시금치,158411.9,565644830,3570.7
2024-01-08,garak,양배추,404239.0,211982300,524.4
2024-01-08,garak,양파,826408.0,924821700,1119.1
2024-01-08,garak,오이,269442.0,1009026800,3744.9
2024-01-08,garak,토마토,109610.6,408183500,3723.9
2024-01-08,garak,파프리카,67591.0,390003500,5770.1
2024-01-08,garak,포도,67519.3,522153500,7733.4
2024-01-08,national,감귤,1889220.0,6200514640,3282.1
2024-01-08,national,감자,816121.0,1393003759,1706.9
2024-01-08,national,깻잎,81267.1,861437574,10600.1
2024-01-08,national,당근,721081.0,639535280,886.9
2024-01-08,national,대파,991572.4,2769746688,2793.3
2024-01-08,national,딸기,506370.6,5906019280,11663.4
2024-01-08,national,마늘,74891.8,337988392,4513.0
2024-01-08,national,무,1699228.7,675034765,397.3
2024-01-08,national,배추,833422.4,520837314,624.9
2024-01-08,national,사과,1419695.8,6923714460,4876.9
2024-01-08,national,상추,197622.6,921704129,4664.0
2024-01-08,national,시금치,346684.4,1135477263,3275.2
2024-01-08,national,양배추,960054.6,449809219,468.5
2024-01-08,national,양파,1875476.5,2018544973,1076.3
2024-01-08,national,오이,531677.5,2072410684,3897.9
2024-01-08,national,토마토,233611.1,861079840,3686.0
2024-01-08,national,파프리카,97326.4,562681309,5781.4
2024-01-08,national,포도,167301.6,1317713160,7876.3
2024-01-09,daejeon,감귤,111653.5,341030800,3054.4
2024-01-09,daejeon,감자,33280.0,70021100,2104.0
2024-01-09,daejeon,깻잎,3604.5,47247600,13107.9
2024-01-09,daejeon,당근,35460.0,30138400,849.9
2024-01-09,daejeon,대파,69326.0,199076650,2871.6
2024-01-09,daejeon,딸기,28588.5,291461400,10195.1
2024-01-09,daejeon,마늘,17528.0,84629640,4828.3
2024-01-09,daejeon,무,77308.7,35198888,455.3
2024-01-09,daejeon,배추,40714.5,26975161,662.5
2024-01-09,daejeon,사과,26495.0,139101000,5250.1
2024-01-09,daejeon,상추,14509.5,56999130,3928.4
2024-01-09,daejeon,시금치,17187.1,56654579,3296.3
2024-01-09,daejeon,양배추,52563.0,21870077,416.1
2024-01-09,daejeon,양파,120970.0,130538900,1079.1
2024-01-09,daejeon,오이,10770.0,48122840,4468.2
2024-01-09,daejeon,토마토,2945.0,9271500,3148.2
2024-01-09,daejeon,파프리카,2054.0,13953795,6793.5
2024-01-09,daejeon,포도,12524.9,99879600,7974.5
2024-01-09,garak,감귤,372214.0,1385043500,3721.1
2024-01-09,garak,감자,235900.0,397126500,1683.5
2024-01-09,garak,깻잎,29185.7,273378100,9366.9
2024-01-09,garak,당근,304649.0,249241450,818.1
2024-01-09,garak,대파,446124.0,1199809800,2689.4
2024-01-09,garak,딸기,183881.9,2141044700,11643.6
2024-01-09,garak,마늘,10738.5,53618360,4993.1
2024-01-09,garak,무,501148.0,200598900,400.3
2024-01-09,garak,배추,225316.5,145998900,648.0
2024-01-09,garak,사과,74760.8,356760500,4772.0
2024-01-09,garak,상추,76290.1,317875200,4166.7
2024-01-09,garak,시금치,134009.4,449855650,3356.9
2024-01-09,garak,양배추,364321.0,187735550,515.3
2024-01-09,garak,양파,689302.0,773516000,1122.2
2024-01-09,garak,오이,119911.8,434613250,3624.4
2024-01-09,garak,토마토,78150.6,277347300,3548.9
2024-01-09,garak,파프리카,46546.0,286459500,6154.3
2024-01-09,garak,포도,68719.5,533100500,7757.6
2024-01-09,national,감귤,1665625.3,5308587500,3187.1
2024-01-09,national,감자,637995.0,1075415982,1685.6
2024-01-09,national,깻잎,59451.2,584675567,9834.5
2024-01-09,national,당근,628400.0,529462092,842.6
2024-01-09,national,대파,883403.8,2426686187,2747.0
2024-01-09,national,딸기,489810.4,5353137010,10929.0
2024-01-09,national,마늘,80842.2,420568578,5202.3
2024-01-09,national,무,1413496.9,551572788,390.2
2024-01-09,national,배추,589022.9,389159547,660.7
2024-01-09,national,사과,1201849.4,5776983850,4806.7
2024-01-09,national,상추,170805.6,749576096,4388.5
2024-01-09,national,시금치,289704.5,881767309,3043.7
2024-01-09,national,양배추,759831.2,353667442,465.5
2024-01-09,national,양파,1697598.3,1852926270,1091.5
2024-01-09,national,오이,266530.8,981573647,3682.8
2024-01-09,national,토마토,157830.1,549056740,3478.8
2024-01-09,national,파프리카,68942.8,416200599,6036.9
2024-01-09,national,포도,165850.3,1277630100,7703.5
2024-01-10,daejeon,감귤,103743.5,321546800,3099.4
2024-01-10,daejeon,감자,40420.0,72853000,1802.4
2024-01-10,daejeon,깻잎,3468.5,41042230,11832.8
2024-01-10,daejeon,당근,19420.0,20267100,1043.6
2024-01-10,daejeon,대파,67398.0,185833560,2757.3
2024-01-10,daejeon,딸기,31448.5,377549000,12005.3
2024-01-10,daejeon,마늘,17305.0,79350340,4585.4
2024-01-10,daejeon,무,90131.0,36641240,406.5
2024-01-10,daejeon,배추,25266.5,18393156,728.0
2024-01-10,daejeon,사과,18110.0,92906500,5130.1
2024-01-10,daejeon,상추,11378.0,47365760,4162.9
2024-01-10,daejeon,시금치,16043.0,53969865,3364.1
2024-01-10,daejeon,양배추,60753.0,23546330,387.6
2024-01-10,daejeon,양파,204665.5,210753399,1029.7
2024-01-10,daejeon,오이,16030.0,68197870,4254.4
2024-01-10,daejeon,토마토,8635.0,31238700,3617.7
2024-01-10,daejeon,파프리카,4698.0,29512660,6282.0
2024-01-10,daejeon,포도,6608.1,52090300,7882.8
2024-01-10,garak,감귤,382483.2,1301548500,3402.9
2024-01-10,garak,감자,275820.0,459436500,1665.7
2024-01-10,garak,깻잎,31444.2,251630675,8002.5
2024-01-10,garak,당근,216680.0,159859000,737.8
2024-01-10,garak,대파,463040.0,1120601100,2420.1
2024-01-10,garak,딸기,149454.8,1626415100,10882.3
2024-01-10,garak,마늘,9200.0,43932000,4775.2
2024-01-10,garak,무,566680.0,212999300,375.9
2024-01-10,garak,배추,250932.5,154873700,617.2
2024-01-10,garak,사과,111986.0,637304000,5690.9
2024-01-10,garak,상추,75902.0,310177100,4086.5
2024-01-10,garak,시금치,128438.0,420038300,3270.4
2024-01-10,garak,양배추,393646.0,184258100,468.1
2024-01-10,garak,양파,740882.0,787249400,1062.6
2024-01-10,garak,오이,151154.0,540940500,3578.7
2024-01-10,garak,토마토,70366.5,258013000,3666.7
2024-01-10,garak,파프리카,51303.0,308533000,6013.9
2024-01-10,garak,포도,55796.0,404807000,7255.1
2024-01-10,national,감귤,1501670.6,4800922470,3197.1
2024-01-10,national,감자,616041.0,1040183994,1688.5
2024-01-10,national,깻잎,60174.2,524240688,8712.1
2024-01-10,national,당근,576560.0,467374032,810.6
2024-01-10,national,대파,890140.1,2249964344,2527.7
2024-01-10,national,딸기,390967.6,4158034460,10635.2
2024-01-10,national,마늘,77834.6,353508274,4541.8
2024-01-10,national,무,1411108.7,536607324,380.3
2024-01-10,national,배추,641792.6,402921275,627.8
2024-01-10,national,사과,1215038.0,6146190860,5058.4
2024-01-10,national,상추,164878.6,708852423,4299.2
2024-01-10,national,시금치,271284.0,842129537,3104.2
2024-01-10,national,양배추,813250.4,351690721,432.5
2024-01-10,national,양파,1771223.5,1853834042,1046.6
2024-01-10,national,오이,308682.0,1120602120,3630.3
2024-01-10,national,토마토,153769.5,551747400,3588.1
2024-01-10,national,파프리카,98410.1,590242148,5997.8
2024-01-10,national,포도,138880.4,1070863500,7710.7
2024-01-11,daejeon,감귤,103589.0,312805700,3019.7
2024-01-11,daejeon,감자,45068.0,76493090,1697.3
2024-01-11,daejeon,깻잎,3587.0,41253760,11500.9
2024-01-11,daejeon,당근,26440.0,23099500,873.7
2024-01-11,daejeon,대파,51724.0,135558950,2620.8
2024-01-11,daejeon,딸기,18532.5,213458800,11518.1
2024-01-11,daejeon,마늘,30028.0,146758860,4887.4
2024-01-11,daejeon,무,86945.3,34144686,392.7
2024-01-11,daejeon,배추,22276.5,15869274,712.4
2024-01-11,daejeon,사과,24590.0,117970000,4797.5
2024-01-11,daejeon,상추,11668.0,50154090,4298.4
2024-01-11,daejeon,시금치,13868.6,51185521,3690.7
2024-01-11,daejeon,양배추,58652.0,24319193,414.6
2024-01-11,daejeon,양파,141589.0,133809820,945.1
2024-01-11,daejeon,오이,13305.0,54306074,4081.6
2024-01-11,daejeon,토마토,1630.0,6198200,3802.6
2024-01-11,daejeon,파프리카,5254.0,37231070,7086.2
2024-01-11,daejeon,포도,12898.3,104881200,8131.4
2024-01-11,garak,감귤,388515.5,1310227000,3372.4
2024-01-11,garak,감자,355220.0,554706000,1561.6
2024-01-11,garak,깻잎,28839.1,225650670,7824.5
2024-01-11,garak,당근,141107.0,111478850,790.0
2024-01-11,garak,대파,423700.0,994428900,2347.0
2024-01-11,garak,딸기,107164.6,1240739500,11577.9
2024-01-11,garak,마늘,9671.4,51350440,5309.5
2024-01-11,garak,무,518162.0,186265700,359.5
2024-01-11,garak,배추,382662.0,207144600,541.3
2024-01-11,garak,사과,95484.2,548900000,5748.6
2024-01-11,garak,상추,77090.0,282637400,3666.3
2024-01-11,garak,시금치,117130.3,374304360,3195.6
2024-01-11,garak,양배추,273230.0,132334250,484.3
2024-01-11,garak,양파,770854.0,820306350,1064.2
2024-01-11,garak,오이,111204.0,386103500,3472.0
2024-01-11,garak,토마토,61365.7,224111100,3652.1
2024-01-11,garak,파프리카,58833.5,346373500,5887.4
2024-01-11,garak,포도,48407.2,351344000,7258.1
2024-01-11,national,감귤,1523328.9,4818154110,3162.9
2024-01-11,national,감자,757308.0,1210696125,1598.7
2024-01-11,national,깻잎,56166.3,471754482,8399.2
2024-01-11,national,당근,400234.0,319836370,799.1
